id,hash,ignored,data,files
28,2572541,false,,"[0,2,1,3,4,5,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
29,2345568,false,,"[0,2,1,3,4,5,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
30,2141905,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
31,7533973,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,23,24,26,25,27]"
32,3470180,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
33,3020351,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
34,263056,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
35,472691,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
36,3001241,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
37,618494,false,,"[0,2,1,3,4,7,9,8,10,12,11,14,13,16,17,18,19,21,22,23,26,27]"
38,2445778,false,,"[0,4,26]"
39,3560775,false,,"[0,2,4,6,26]"
40,3753071,false,,"[0,4,6,26]"
41,4591705,false,,"[0,4,6,9,26]"
42,336884,false,,"[0,2,3,4,6,7,9,8,14,13,19,21,24,26]"
43,4649559,false,,"[0,2,3,4,9,8,10,15,16,19,21,22,23,24,26,25]"
44,1488532,false,,"[0,2,3,9,8,16,21,23,26]"
45,460855,false,,"[0,2,3,9,8,16,21,26]"
46,6576607,false,,"[0,2,1,3,4,6,9,14,19,21,26]"
47,2680717,false,,"[0,2,1,3,6,7,9,17,19,26]"
48,2407289,false,,[0]
49,2030694,false,,[0]
50,286053,false,,[0]
51,3558834,false,,"[0,11,24]"
52,2885658,false,,"[0,2,3,4,6,9,10,12,11,14,15,19,21,22,26,25]"
53,663784,false,,"[0,2,6,9,12,11,14,15,19,21,26]"
54,5064967,false,,"[0,2,3,6,7,9,8,12,11,14,13,15,18,19,21,26]"
55,7481846,false,,"[0,2,3,5,6,7,9,8,12,11,14,13,15,17,18,19,21,26]"
56,4510614,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
57,4115795,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
58,2529596,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
59,3586629,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
60,2538407,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
61,2117606,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
62,92543,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
63,3925678,false,,"[0,4,6,26]"
64,1967682,false,,"[0,2,3,4,5,9,8,12,11,17,21,26]"
65,1224129,false,,"[0,2,3,4,5,9,8,10,12,11,15,16,17,19,21,22,23,24,26,25]"
66,2192911,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,13,15,16,17,18,19,21,23,24,26,27]"
67,3095743,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,13,15,18,19,21,24,26,27]"
68,5371223,false,,"[0,2,1,3,5,6,7,9,8,12,13,15,18,19,21,26]"
69,6805930,false,,"[0,2,3,6,9,12,14,15,19,21,26]"
70,867916,false,,"[0,2,3,6,9,23,26]"
71,879151,false,,"[0,2,3,6,9,26]"
72,2423425,false,,"[0,2,9,26]"
73,3704479,false,,"[0,2,9,19,21,26]"
74,5213423,false,,"[0,2,9,19,26]"
75,1164014,false,,"[0,2,6,9,19,26]"
76,2003134,false,,"[0,2,6,9,26]"
77,2201359,false,,"[0,6,26]"
78,2932397,false,,"[0,6,26]"
79,6691546,false,,"[0,6,26]"
80,3602174,false,,"[0,2,1,3,4,5,6,7,9,12,14,13,15,18,19,21,24,26]"
81,5516608,false,,"[0,2,3,6,9,15,19,26]"
82,7986385,false,,"[0,2,3,6,9,15,19,26]"
83,7204728,false,,"[0,2,3,6,9,15,19,26]"
84,6810914,false,,"[0,2,3,6,9,15,19,26]"
85,2329088,false,,"[0,2,3,9,15,19,26]"
86,5927361,false,,"[0,19]"
87,2251265,false,,[0]
88,624189,false,,[0]
89,75601,false,,[0]
90,1992651,false,,[0]
91,635036,false,,[0]
92,755507,false,,[0]
93,775732,false,,"[0,10,15,27]"
94,1448339,false,,"[0,10,15,27]"
95,2990476,false,,"[0,15,27]"
96,2342147,false,,"[0,2,3,6,19,26,27]"
97,1631618,false,,"[0,2,3,6,19,26,27]"
98,1152095,false,,"[0,2,3,6,19,26,27]"
99,39764,false,,"[0,6,26]"
100,73653,false,,"[0,6,26]"
101,196515,false,,"[0,2,3,15,19,26]"
102,59252,false,,"[0,2,3,15,19,26]"
103,110193,false,,"[0,2,3,15,19,26]"
104,2119773,false,,"[0,2,1,6,7,12,17,19,21,26,27]"
105,612322,false,,"[0,2,1,5,6,7,8,12,13,17,19,21,24,26,27]"
106,4357527,false,,"[0,15,16]"
107,322414,false,,[0]
108,529593,false,,[0]
109,2972591,false,,[0]
110,1827608,false,,"[0,2,26]"
111,475531,false,,"[0,2,26]"
112,3681243,false,,"[0,26]"
113,4169918,false,,"[0,26]"
114,3775785,false,,"[0,2,1,3,5,6,7,9,12,14,13,15,18,19,26]"
115,4566867,false,,"[0,2,1,3,6,7,9,13,15,17,18,19,26]"
116,3001125,false,,"[0,2,1,3,6,7,9,13,15,17,18,19,26]"
117,1474255,false,,"[0,2,1,3,6,7,9,12,13,15,17,18,19,21,22,26]"
118,2246909,false,,"[0,2,3,6,7,13,18,26]"
119,2422920,false,,"[0,2,3,5,6,7,12,13,18,26]"
120,2300873,false,,"[0,2,3,5,6,7,12,13,17,18,21,26]"
121,412107,false,,"[0,2,3,5,6,7,12,13,17,18,21,26]"
122,951552,false,,"[0,2,3,5,6,7,12,13,17,18,21,26]"
123,1958297,false,,"[0,2,3,5,6,7,12,13,17,18,21,26]"
124,2504447,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
125,4355654,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
126,4453203,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
127,2642605,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
128,2654566,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
129,2822480,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
130,245534,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
131,2172341,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
132,2978386,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
133,3210079,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
134,784307,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
135,823659,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
136,1999637,false,,"[0,2,1,3,4,5,6,7,9,8,10,12,11,14,13,15,16,17,20,18,19,21,22,23,24,26,25,27]"
137,1062460,false,,[2]
138,4028312,false,,[2]
139,6545273,false,,"[2,3,7,8,14,13,24]"
140,4751280,false,,"[2,3,6,9,19,26]"
141,3422399,false,,"[2,3,4,6,7,9,10,11,14,13,16,19,21,23,26]"
142,3790009,false,,"[2,3,6,9,26]"
143,3147674,false,,"[2,3,5,9,8,12,11,14,13,17,18,19,21]"
144,6473860,false,,[2]
145,13594582,false,,[2]
146,2609822,false,,"[2,3,4,9,8,10,14,13,15,20,19,23,27]"
147,4952508,false,,[2]
148,2970918,false,,[2]
149,2869454,false,,"[2,3,19,26]"
150,611175,false,,"[2,3,11,19,26,27]"
151,3902461,false,,"[2,3,19,26]"
152,4260936,false,,"[2,3,19,26]"
153,3486587,false,,"[2,3,19,26]"
154,463178,false,,[2]
155,2324448,false,,"[2,1,5,6,7,9,8,12,11,14,13,17,18,26]"
156,23130,false,,"[2,1,3,5,6,7,9,8,10,12,11,14,13,16,17,20,18,19,21,22,23,24,26,27]"
157,3771144,false,,"[2,1,3,5,6,7,9,8,12,13,18,19,21,24,26]"
158,2241680,false,,"[2,1,3,5,6,7,9,8,12,13,18,19,21,24]"
159,1725709,false,,"[2,1,3,5,6,7,9,8,12,13,18,19,21,24]"
160,4964753,false,,"[2,1,3,5,6,7,9,8,10,12,11,14,13,17,20,18,19,21,23,24,27]"
161,4138407,false,,"[2,3,5,9,8,10,14,13,20,19,23,27]"
162,7134434,false,,"[1,3,7,8,12,11,14,13,21,24]"
163,8972460,false,,"[1,11,21]"
164,6633984,false,,[1]
165,6439818,false,,[1]
166,5605867,false,,[1]
167,228591,false,,[1]
168,4399764,false,,"[1,7]"
169,2960505,false,,"[1,7]"
170,443579,false,,[1]
171,907350,false,,[1]
172,1972039,false,,[1]
173,1931367,false,,[1]
174,5023014,false,,[1]
175,8810636,false,,"[1,6,19]"
176,2376432,false,,[1]
177,1923975,false,,[1]
178,415699,false,,[1]
179,382137,false,,[1]
180,3480660,false,,"[1,7]"
181,2016469,false,,"[1,7]"
182,3352247,false,,"[1,7]"
183,1320071,false,,"[1,7]"
184,1249165,false,,"[1,7]"
185,1247431,false,,"[1,7]"
186,157753,false,,"[1,7]"
187,5191562,false,,"[1,7]"
188,1827141,false,,"[1,7,13]"
189,1987373,false,,"[1,17]"
190,3251976,false,,"[1,4,5,7,8,10,12,14,13,15,16,17,20,18,21,22,24,25,27]"
191,574166,false,,"[1,7]"
192,3918513,false,,"[1,7]"
193,5608409,false,,"[1,7]"
194,3979495,false,,"[1,7]"
195,3462331,false,,"[1,7]"
196,2616175,false,,"[1,7,11,17]"
197,2089812,false,,"[1,7,12]"
198,1114360,false,,"[1,7,18]"
199,1017393,false,,"[1,6]"
200,2295517,false,,"[1,3,15]"
201,2797365,false,,[1]
202,1308862,false,,"[1,3,5,6,7,8,12,11,14,17,18,19,21,23,24]"
203,5222600,false,,"[1,7,10,16,17,21,22,23,24,27]"
204,121085,false,,"[1,7,16,21,23,24]"
205,2890161,false,,"[1,7,23,24]"
206,6826031,false,,"[1,5,7,11,17,22,23]"
207,2326354,false,,"[1,7,12]"
208,3423965,false,,"[1,7,12]"
